발생_순번,발생_일시,항목_코드,경보 단계,지역명,권역명,발령일자,발령시간,발령농도,해제일자,해제시간,해제농도
222,2022-03-09,PM25,주의보,충남,북부권역,2022-03-10,00:00,78,2022-03-10,15:00,31
221,2022-03-07,PM25,주의보,강원,영동남부,2022-03-07,13:00,117,2022-03-08,06:00,19
220,2022-03-07,PM10,주의보,강원,영동남부,2022-03-07,13:00,162,2022-03-07,15:00,96
219,2022-03-06,PM25,주의보,강원,영동남부,2022-03-06,01:00,75,2022-03-06,04:00,7
218,2022-03-05,PM10,주의보,강원,영동북부,2022-03-05,11:00,151,2022-03-05,14:00,75
217,2022-03-05,PM10,주의보,세종,세종권역,2022-03-05,04:00,170,2022-03-05,13:00,89
216,2022-03-05,PM10,주의보,부산,중부권역,2022-03-05,10:00,163,2022-03-05,14:00,78
215,2022-03-05,PM10,주의보,부산,남부권역,2022-03-05,10:00,164,2022-03-05,14:00,79
214,2022-03-05,PM10,주의보,부산,서부권역,2022-03-05,10:00,163,2022-03-05,13:00,99
213,2022-03-05,PM10,주의보,강원,영서남부,2022-03-05,10:00,200,2022-03-05,14:00,88
212,2022-03-05,PM10,주의보,제주,제주권역,2022-03-05,09:00,187,2022-03-05,15:00,92
209,2022-03-05,PM10,주의보,부산,동부권역,2022-03-05,09:00,203,2022-03-05,14:00,78
208,2022-03-05,PM10,주의보,경남,양산권역,2022-03-05,09:00,152,2022-03-05,12:00,95
207,2022-03-05,PM10,주의보,경남,김해권역,2022-03-05,09:00,153,2022-03-05,12:00,88
206,2022-03-05,PM10,주의보,강원,영서북부,2022-03-05,09:00,202,2022-03-05,12:00,88
204,2022-03-05,PM10,주의보,경남,통영권역,2022-03-05,08:00,235,2022-03-05,12:00,94
203,2022-03-05,PM10,주의보,경남,하동권역,2022-03-05,08:00,164,2022-03-05,12:00,90
202,2022-03-05,PM10,주의보,경남,거제권역,2022-03-05,08:00,196,2022-03-05,13:00,88
201,2022-03-05,PM10,주의보,경남,사천권역,2022-03-05,08:00,183,2022-03-05,12:00,89
200,2022-03-05,PM10,주의보,서울,서울권역,2022-03-05,08:00,247,2022-03-05,12:00,86
199,2022-03-05,PM10,주의보,대전,서부권역,2022-03-05,05:00,178,2022-03-05,14:00,85
198,2022-03-05,PM10,주의보,대전,동부권역,2022-03-05,05:00,182,2022-03-05,14:00,86
194,2022-03-05,PM10,주의보,전남,동부권,2022-03-05,07:00,207,2022-03-05,15:00,88
193,2022-03-05,PM10,주의보,경남,합천권역,2022-03-05,07:00,150,2022-03-05,10:00,89
192,2022-03-05,PM10,주의보,경남,함안권역,2022-03-05,07:00,204,2022-03-05,11:00,91
191,2022-03-05,PM10,주의보,경남,고성권역,2022-03-05,07:00,201,2022-03-05,13:00,87
190,2022-03-05,PM10,주의보,경남,남해권역,2022-03-05,07:00,246,2022-03-05,13:00,87
189,2022-03-05,PM10,주의보,경남,밀양권역,2022-03-05,07:00,173,2022-03-05,12:00,84
188,2022-03-05,PM10,주의보,경기,북부권,2022-03-05,07:00,287,2022-03-05,12:00,95
187,2022-03-05,PM10,주의보,강원,영서남부,2022-03-05,03:00,178,2022-03-05,07:00,96
186,2022-03-04,PM10,주의보,강원,영동남부,2022-03-05,00:00,278,2022-03-05,06:00,97
